稚内,11016,s47401
北見枝幸,11291,s47402
本泊,11091,a1512
声問,11061,a1528
羽幌,13181,s47404
留萌,13277,s47406
旭川,12442,s47407
東神楽,12501,a1458
雄武,17036,s47405
紋別,17112,s47435
網走,17341,s47409
女満別,17531,a1460
紋別小向,17116,a1487
岩見沢,15356,s47413
小樽,16091,s47411
倶知安,16217,s47433
寿都,16252,s47421
山口,81286,a0031
札幌,14163,s47412
千歳,14296,a1459
浦河,22327,s47426
帯広,20432,s47417
広尾,20751,s47440
帯広泉,20551,a1510
根室,18273,s47420
根室中標津,18174,a1489
江差,24217,s47428
米岡,24156,a1513
苫小牧,21187,s47424
室蘭,21323,s47423
釧路,19432,s47418
鶴丘,19347,a1461
函館,23232,s47430
高松,72086,a1462
むつ,31111,s47576
青森,31312,s47575
深浦,31436,s47574
八戸,31602,s47581
青森大谷,31386,a1495
秋田,32402,s47582
脇神,32181,a1463
雄和,32451,a1511
盛岡,33431,s47584
宮古,33472,s47585
花巻,33576,a0227
大船渡,33877,s47512
山形,35426,a1219
輪島,56052,s47600
金沢,56227,s47605
三井,56093,a1544
酒田,35052,s47587
新庄,35162,s47520
山形,35426,s47588
浜中,35086,a1465
東根,35334,a1488
石巻,34292,s47592
仙台,34392,s47590
名取,34436,a1464
伏木,55091,s47606
富山,55102,s47607
八尾,62096,a0555
秋ヶ島,55151,a1533
相川,54157,s47602
新潟,54232,s47604
高田,54651,s47612
下関,81428,a1060
松浜,54236,a1469
秋津,54167,a1514
福島,36126,s47595
若松,36361,s47570
白河,36667,s47597
小名浜,36846,s47598
玉川,36581,a1466
萩,81071,s47754
山口,81286,s47784
下関,81428,s47762
宇部,81436,a0778
西郷,68022,s47740
斐川,68121,a0694
松江,68132,s47741
浜田,68376,s47755
西郷岬,68046,a1473
高津,68456,a1474
境,69006,s47742
鳥取,69122,s47746
米子,69076,s47744
湖山,69052,a1519
豊岡,63051,s47747
姫路,63383,s47769
神戸,63518,s47770
洲本,63571,s47776
神戸空港,63517,a1587
舞鶴,61111,s47750
京都,61286,s47759
福井,57066,s47616
敦賀,57248,s47631
春江,57026,a1537
高山,52146,s47617
岐阜,52586,s47632
長野,48156,s47610
軽井沢,48331,s47622
松本,48361,s47618
諏訪,48491,s47620
飯田,48767,s47637
松本今井,48363,a1529
前橋,42251,s47624
宇都宮,41277,s47615
水戸,40201,s47629
福山,67401,s47767
広島,67437,s47765
呉,67511,s47766
本郷,67386,a1472
津山,66186,s47756
岡山,66408,s47768
日応寺,66346,a1531
彦根,60131,s47761
甲府,49142,s47638
河口湖,49251,s47640
富士山,50066,s47639
熊谷,43056,s47626
秩父,43156,s47641
厳原,84072,s47800
平戸,84171,s47805
佐世保,84266,s47812
長崎,84496,s47817
雲仙岳,84519,s47818
福江,84536,s47843
大村,84371,a1084
石田,84122,a1478
上大津,84537,a1479
美津島,84076,a1538
佐賀,85142,s47813
川副,85176,a1480
飯塚,82136,s47809
福岡,82182,s47807
博多,82186,a1477
空港北町,82068,a1590
豊中,62051,a0602
大阪,62078,s47772
八尾,62096,a1470
関空島,62101,a1471
奈良,64036,s47780
四日市,53061,s47684
上野,53112,s47649
津,53133,s47651
尾鷲,53378,s47663
名古屋,51106,s47636
伊良湖,51346,s47653
セントレア,51261,a1555
三島,50206,s47657
網代,50281,s47668
静岡,50331,s47656
浜松,50456,s47654
御前崎,50551,s47655
石廊崎,50561,s47666
清水,74516,a1243
富士山,50066,s47639
静岡空港,50477,a1601
横浜,46106,s47670
東京,44132,s47662
羽田,44166,a0371
大島,44172,s47675
三宅島,44226,s47677
八丈島,44263,s47678
新島,44207,a1522
父島,44301,s47971
大島北ノ山,44173,a1467
八重見ヶ原,44262,a1468
神津島,44216,a1523
三宅坪田,44228,a1506
南鳥島,44356,s47991
成田,45121,a0378
銚子,45147,s47648
千葉,45212,s47682
勝浦,45371,s47674
館山,45401,s47672
熊本,86141,s47819
人吉,86467,s47824
牛深,86491,s47838
益城,86146,a0923
武蔵,83126,a0796
伏木,55091,a0797
日田,83137,s47814
大分,83216,s47815
玉川,36581,a0733
松山,73166,s47887
宇和島,73442,s47892
松山南吉田,73168,a1521
高松,72086,s47891
多度津,72111,s47890
香南,72126,a1475
和歌山,65042,s47777
潮岬,65356,s47778
清水,74516,a1063
南紀白浜,65288,a1589
阿久根,88061,s47823
溝辺,88166,a0881
鹿児島,88317,s47827
枕崎,88466,s47831
種子島,88612,s47837
中種子,88621,a0897
名瀬,88836,s47909
屋久島,88686,s47836
沖永良部,88971,s47942
与論島,88986,a1277
喜界島,88851,a1296
笠利,88821,a1520
天城,88931,a1542
延岡,87141,s47822
宮崎,87376,s47830
都城,87426,s47829
油津,87492,s47835
赤江,87412,a1481
高知,74181,s47893
室戸岬,74372,s47899
宿毛,74447,s47897
清水,74516,s47898
佐賀,85142,a1233
南国日章,74188,a1476
徳島,71106,s47895
名護,91107,s47940
那覇,91197,s47936
石垣島,94081,s47918
宮古島,93041,s47927
久米島,91146,s47929
西表島,94062,s47917
与那国島,94017,s47912
安次嶺,91236,a1482
鏡原,93042,a1483
下地島,93012,a1490
仲筋,93062,a1491
所野,94011,a1493
北大東,92006,a1517
旧東,92012,a1518
北原,91141,a1534
盛山,94086,a1639
