stn_name,stn_num,stn_id,lat,lng
稚内,11016,s47401,45.415,141.6783
北見枝幸,11291,s47402,44.94,142.585
本泊,11091,a1512,45.2417,141.1867
声問,11061,a1528,45.4033,141.8017
羽幌,13181,s47404,44.3633,141.7
留萌,13277,s47406,43.945,141.6317
旭川,12442,s47407,43.7567,142.3717
東神楽,12501,a1458,43.67,142.4467
雄武,17036,s47405,44.58,142.9633
紋別,17112,s47435,44.345,143.355
網走,17341,s47409,44.0167,144.2783
女満別,17531,a1460,43.88,144.1633
紋別小向,17116,a1487,44.3033,143.4033
岩見沢,15356,s47413,43.2117,141.785
小樽,16091,s47411,43.1817,141.015
倶知安,16217,s47433,42.9,140.7567
寿都,16252,s47421,42.795,140.2233
山口,81286,a0031,34.1617,131.4617
札幌,14163,s47412,43.06,141.3283
千歳,14296,a1459,42.775,141.6917
浦河,22327,s47426,42.1617,142.7767
帯広,20432,s47417,42.9217,143.2117
広尾,20751,s47440,42.2933,143.3167
帯広泉,20551,a1510,42.7333,143.2167
根室,18273,s47420,43.33,145.585
根室中標津,18174,a1489,43.5767,144.96
江差,24217,s47428,41.8667,140.1233
米岡,24156,a1513,42.0717,139.4317
苫小牧,21187,s47424,42.6233,141.5467
室蘭,21323,s47423,42.3117,140.975
釧路,19432,s47418,42.985,144.3767
鶴丘,19347,a1461,43.04,144.1917
函館,23232,s47430,41.8167,140.7533
高松,72086,a1462,34.3183,134.0533
むつ,31111,s47576,41.2833,141.21
青森,31312,s47575,40.8217,140.7683
深浦,31436,s47574,40.645,139.9317
八戸,31602,s47581,40.5267,141.5217
青森大谷,31386,a1495,40.7333,140.6883
秋田,32402,s47582,39.7167,140.0983
脇神,32181,a1463,40.1917,140.3717
雄和,32451,a1511,39.615,140.2183
盛岡,33431,s47584,39.6983,141.165
宮古,33472,s47585,39.6467,141.965
花巻,33576,a0227,39.4283,141.135
大船渡,33877,s47512,39.0633,141.7133
山形,35426,a1219,38.255,140.345
輪島,56052,s47600,37.39,136.895
金沢,56227,s47605,36.5883,136.6333
三井,56093,a1544,37.2933,136.9617
酒田,35052,s47587,38.9083,139.8433
新庄,35162,s47520,38.7567,140.3117
山形,35426,s47588,38.255,140.345
